,Uniprot ID,Organism,Taxonomy-ID,Gene Name,HGNC number,Gene synonym,Recommended Name,Short Names,Alternative Names,OMIM,Catalytic: Reaction,Catalytic: Rhea,Catalytic: EC,Brenda,Reactome ID,CAZy,GeneID
10,O95340,Homo sapiens,9606,PAPSS2,HGNC:8604;,ATPSK2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,PAPS synthase 2;PAPSS 2;,Sulfurylase kinase 2;,603005;612847;,ATP + H(+) + sulfate = adenosine 5'-phosphosulfate + diphosphate;adenosine 5'-phosphosulfate + ATP = 3'-phosphoadenylyl sulfate + ADP + H(+);,RHEA:18133;RHEA:24152;,2.7.7.4;2.7.1.25;,2.7.1.25;2.7.7.4;,R-HSA-174362;R-HSA-2408550;R-HSA-3560796;,,9060;
11,P52848,Homo sapiens,9606,NDST1,HGNC:7680;,HSST,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,,Glucosaminyl N-deacetylase/N-sulfotransferase 1;N-heparan sulfate sulfotransferase 1;[Heparan sulfate]-glucosamine N-sulfotransferase 1;,600853;616116;,"H2O + N-acetyl-alpha-D-glucosaminyl-[heparan sulfate](n) = acetate + alpha-D-glucosaminyl-[heparan sulfate](n);3'-phosphoadenylyl sulfate + alpha-D-glucosaminyl-[heparan sulfate](n) = adenosine 3',5'-bisphosphate + 2 H(+) + N-sulfo-alpha-D-glucosaminyl-[heparan sulfate](n);",RHEA:70587;RHEA-COMP:9830;RHEA-COMP:11585;RHEA:21980;RHEA-COMP:9830;RHEA-COMP:14602;,2.8.2.8;,2.8.2.8;,R-HSA-2022928;,,3340;
12,P52849,Homo sapiens,9606,NDST2,HGNC:7681;,HSST2,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2,,Glucosaminyl N-deacetylase/N-sulfotransferase 2;N-heparan sulfate sulfotransferase 2;,603268;,"3'-phosphoadenylyl sulfate + alpha-D-glucosaminyl-[heparan sulfate](n) = adenosine 3',5'-bisphosphate + 2 H(+) + N-sulfo-alpha-D-glucosaminyl-[heparan sulfate](n);",RHEA:21980;RHEA-COMP:9830;RHEA-COMP:14602;,2.8.2.8;,2.8.2.8;,R-HSA-2022928;,,8509;
13,O95803,Homo sapiens,9606,NDST3,HGNC:7682;,HSST3,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3,,Glucosaminyl N-deacetylase/N-sulfotransferase 3;N-heparan sulfate sulfotransferase 3;,603950;,"3'-phosphoadenylyl sulfate + alpha-D-glucosaminyl-[heparan sulfate](n) = adenosine 3',5'-bisphosphate + 2 H(+) + N-sulfo-alpha-D-glucosaminyl-[heparan sulfate](n);",RHEA:21980;RHEA-COMP:9830;RHEA-COMP:14602;,2.8.2.8;,2.8.2.8;,R-HSA-2022928;,,9348;
14,Q9H3R1,Homo sapiens,9606,NDST4,HGNC:20779;,HSST4,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4,,Glucosaminyl N-deacetylase/N-sulfotransferase 4;N-heparan sulfate sulfotransferase 4;,615039;,"3'-phosphoadenylyl sulfate + alpha-D-glucosaminyl-[heparan sulfate](n) = adenosine 3',5'-bisphosphate + 2 H(+) + N-sulfo-alpha-D-glucosaminyl-[heparan sulfate](n);",RHEA:21980;RHEA-COMP:9830;RHEA-COMP:14602;,2.8.2.8;,2.8.2.8;,R-HSA-2022928;,,64579;
15,O94923,Homo sapiens,9606,GLCE,HGNC:17855;,KIAA0836,D-glucuronyl C5-epimerase,,Heparan sulfate C5-epimerase;Heparin/heparan sulfate:glucuronic acid C5-epimerase;Heparosan-N-sulfate-glucuronate 5-epimerase;,612134;,[heparosan-N-sulfate](n) = [heparan-N-sulfate](n);,RHEA:20197;RHEA-COMP:9556;RHEA-COMP:9557;,5.1.3.17;,5.1.3.17;,R-HSA-2022928;,,26035;
16,Q8IUR5,Homo sapiens,9606,TMTC1,HGNC:24099;,,Protein O-mannosyl-transferase TMTC1,,Transmembrane and TPR repeat-containing protein 1;,615855;,a dolichyl beta-D-mannosyl phosphate + L-seryl-[protein] = 3-O-(alpha-D-mannosyl)-L-seryl-[protein] + a dolichyl phosphate + H(+);a dolichyl beta-D-mannosyl phosphate + L-threonyl-[protein] = 3-O-(alpha-D-mannosyl)-L-threonyl-[protein] + a dolichyl phosphate + H(+);,RHEA:17377;RHEA-COMP:9517;RHEA-COMP:9527;RHEA-COMP:9863;RHEA-COMP:13546;RHEA:53396;RHEA-COMP:9517;RHEA-COMP:9527;RHEA-COMP:11060;RHEA-COMP:13547;,2.4.1.109;2.4.1.109;,,,,83857;
17,Q8N394,Homo sapiens,9606,TMTC2,HGNC:25440;,,Protein O-mannosyl-transferase TMTC2,,Transmembrane and TPR repeat-containing protein 2;,615856;,a dolichyl beta-D-mannosyl phosphate + L-seryl-[protein] = 3-O-(alpha-D-mannosyl)-L-seryl-[protein] + a dolichyl phosphate + H(+);a dolichyl beta-D-mannosyl phosphate + L-threonyl-[protein] = 3-O-(alpha-D-mannosyl)-L-threonyl-[protein] + a dolichyl phosphate + H(+);,RHEA:17377;RHEA-COMP:9517;RHEA-COMP:9527;RHEA-COMP:9863;RHEA-COMP:13546;RHEA:53396;RHEA-COMP:9517;RHEA-COMP:9527;RHEA-COMP:11060;RHEA-COMP:13547;,2.4.1.109;2.4.1.109;,,,,160335;
18,Q6ZXV5,Homo sapiens,9606,TMTC3,HGNC:26899;,,Protein O-mannosyl-transferase TMTC3,,Protein SMILE;Transmembrane and TPR repeat-containing protein 3;,617218;617255;,a dolichyl beta-D-mannosyl phosphate + L-seryl-[protein] = 3-O-(alpha-D-mannosyl)-L-seryl-[protein] + a dolichyl phosphate + H(+);a dolichyl beta-D-mannosyl phosphate + L-threonyl-[protein] = 3-O-(alpha-D-mannosyl)-L-threonyl-[protein] + a dolichyl phosphate + H(+);,RHEA:17377;RHEA-COMP:9517;RHEA-COMP:9527;RHEA-COMP:9863;RHEA-COMP:13546;RHEA:53396;RHEA-COMP:9517;RHEA-COMP:9527;RHEA-COMP:11060;RHEA-COMP:13547;,2.4.1.109;2.4.1.109;,,,,160418;
19,Q5T4D3,Homo sapiens,9606,TMTC4,HGNC:25904;,,Protein O-mannosyl-transferase TMTC4,,Transmembrane and TPR repeat-containing protein 4;,618203;,a dolichyl beta-D-mannosyl phosphate + L-seryl-[protein] = 3-O-(alpha-D-mannosyl)-L-seryl-[protein] + a dolichyl phosphate + H(+);a dolichyl beta-D-mannosyl phosphate + L-threonyl-[protein] = 3-O-(alpha-D-mannosyl)-L-threonyl-[protein] + a dolichyl phosphate + H(+);,RHEA:17377;RHEA-COMP:9517;RHEA-COMP:9527;RHEA-COMP:9863;RHEA-COMP:13546;RHEA:53396;RHEA-COMP:9517;RHEA-COMP:9527;RHEA-COMP:11060;RHEA-COMP:13547;,2.4.1.109;2.4.1.109;,,,,84899;
20,Q9H5K3,Homo sapiens,9606,POMK,HGNC:26267;,SGK196,Protein O-mannose kinase,POMK;,Protein kinase-like protein SgK196;Sugen kinase 196;,615247;615249;616094;,3-O-[beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-alpha-D-Man]-L-Thr-[protein] + ATP = 3-O-[beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + ADP + H(+);,RHEA:52616;RHEA-COMP:13308;RHEA-COMP:13309;,2.7.1.183;,2.7.1.183;,R-HSA-5173105;,,84197;
21,Q8NAT1,Homo sapiens,9606,POMGNT2,HGNC:25902;,AGO61,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2",POMGnT2;,Extracellular O-linked N-acetylglucosamine transferase-like;Glycosyltransferase-like domain-containing protein 2;,614828;614830;618135;,3-O-(alpha-D-mannosyl)-L-threonyl-[protein] + UDP-N-acetyl-alpha-D-glucosamine = 3-O-(N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-mannosyl)-L-threonyl-[protein] + H(+) + UDP;,RHEA:37663;RHEA-COMP:13547;RHEA-COMP:13618;,2.4.1.312;,2.4.1.312;,R-HSA-5173105;,GT61;,84892;
22,O75072,Homo sapiens,9606,FKTN,HGNC:3622;,FCMD,Ribitol-5-phosphate transferase FKTN,,Fukutin;Fukuyama-type congenital muscular dystrophy protein;Ribitol-5-phosphate transferase;,253800;607440;611588;611615;613152;,3-O-[beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + CDP-L-ribitol = 3-O-[Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + CMP + H(+);,RHEA:36551;RHEA-COMP:13309;RHEA-COMP:17480;,,,,,2218;
23,Q9H9S5,Homo sapiens,9606,FKRP,HGNC:17997;,,Ribitol 5-phosphate transferase FKRP,,Fukutin-related protein;Ribitol-5-phosphate transferase;,606596;606612;607155;613153;,3-O-[Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + CDP-L-ribitol = 3-O-[Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + CMP + H(+);,RHEA:39867;RHEA-COMP:15021;RHEA-COMP:17480;,,,,,79147;
24,O95461,Homo sapiens,9606,LARGE1,HGNC:6511;,KIAA0609,Xylosyl- and glucuronyltransferase LARGE1,,Acetylglucosaminyltransferase-like 1A;Glycosyltransferase-like protein;LARGE xylosyl- and glucuronyltransferase 1;,603590;608840;613154;,3-O-[beta-D-GlcA-(1->3)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + UDP-alpha-D-xylose = 3-O-[alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + H(+) + UDP;3-O-{(1->[3)-alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->](n)-4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man}-L-Thr-[protein] + UDP-alpha-D-glucuronate = 3-O-{beta-D-GlcA-(1->[3)-alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->](n)-4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man}-L-Thr-[protein] + H(+) + UDP;3-O-{beta-D-GlcA-(1->[3)-alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->](n)-4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man}-L-Thr-[protein] + UDP-alpha-D-xylose = 3-O-{(1->[3)-alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->](n+1)-4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man}-L-Thr-[protein] + H(+) + UDP;,RHEA:57336;RHEA-COMP:17482;RHEA-COMP:17483;RHEA:67924;RHEA-COMP:17484;RHEA-COMP:17486;RHEA:68368;RHEA-COMP:17485;RHEA-COMP:17486;,,2.4.1.B80;2.4.2.B18;,R-HSA-5083627;R-HSA-5173105;,GT49;GT8;,9215;
25,Q8N3Y3,Homo sapiens,9606,LARGE2,HGNC:16522;,GYLTL1B,Xylosyl- and glucuronyltransferase LARGE2,,Glycosyltransferase-like 1B;LARGE xylosyl- and glucuronyltransferase 2;,609709;,3-O-[beta-D-GlcA-(1->3)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + UDP-alpha-D-xylose = 3-O-[alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + H(+) + UDP;3-O-{(1->[3)-alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->](n)-4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man}-L-Thr-[protein] + UDP-alpha-D-glucuronate = 3-O-{beta-D-GlcA-(1->[3)-alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->](n)-4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man}-L-Thr-[protein] + H(+) + UDP;3-O-{beta-D-GlcA-(1->[3)-alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->](n)-4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man}-L-Thr-[protein] + UDP-alpha-D-xylose = 3-O-{(1->[3)-alpha-D-Xyl-(1->3)-beta-D-GlcA-(1->](n+1)-4)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-O-6-P-alpha-D-Man}-L-Thr-[protein] + H(+) + UDP;,RHEA:57336;RHEA-COMP:17482;RHEA-COMP:17483;RHEA:67924;RHEA-COMP:17484;RHEA-COMP:17486;RHEA:68368;RHEA-COMP:17485;RHEA-COMP:17486;,,,R-HSA-5173105;,GT49;GT8;,120071;
26,Q9Y2B1,Homo sapiens,9606,RXYLT1,HGNC:13530;,TMEM5,Ribitol-5-phosphate xylosyltransferase 1,,"Transmembrane protein 5;UDP-D-xylose:ribitol-5-phosphate beta1,4-xylosyltransferase;",605862;615041;,3-O-[Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + UDP-alpha-D-xylose = 3-O-[beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + H(+) + UDP;,RHEA:57880;RHEA-COMP:15021;RHEA-COMP:15023;,2.4.2.61;,2.4.2.61;,,,10329;
27,O43505,Homo sapiens,9606,B4GAT1,HGNC:15685;,B3GNT1,"Beta-1,4-glucuronyltransferase 1",,"I-beta-1,3-N-acetylglucosaminyltransferase;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase;Poly-N-acetyllactosamine extension enzyme;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1;",605517;615287;,3-O-[beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + UDP-alpha-D-glucuronate = 3-O-[beta-D-GlcA-(1->3)-beta-D-Xyl-(1->4)-Rib-ol-P-Rib-ol-P-3-beta-D-GalNAc-(1->3)-beta-D-GlcNAc-(1->4)-(O-6-P-alpha-D-Man)]-Thr-[protein] + H(+) + UDP;,RHEA:46860;RHEA-COMP:15023;RHEA-COMP:17482;,,2.4.1.149;,R-HSA-2022854;R-HSA-5083627;R-HSA-5173105;,GT49;,11041;
