GeneSymbol,CAZy,ECNo,EnzClass,Uniprot,DNARef,KEGG,KEGGPath,ProteinRef,GeneID,GlyClass,ProteinName,Organism,Constraints,Status,Reactant,co_R,Product,co_P,Comments,OMIMNo,Compartment,AddMono,Remove,ReplaceMono,Substrate,Product_1,Vm,Km,KineticsUnits,ER,Cis,Medial,Trans,TGN,Tissues,Organs,Donor,ReactomeID,isOriginal,isDrawGlycan
ALG14,GT1,,Glycosyltransferase,Q96F25,NM_001305242.1,K07441,ko00510/ko00513/ko01100,NP_001292171.1,199857,N_linked,UDP-N-acetylglucosamine transferase subunit ALG14 homolog,Homo sapiens,,done,GlcNAc(a1-?)-PP-Dol,UDP-GlcNAc,GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,UDP,"* Alg13/Alg14 are part of a heterodimer that transfers second GlcNAc from UDP-GlcNAc to generate Dol-PP-GlcNAc2.
* Cells lacking these activities grow slowly, and mutations in Alg13 leads to CDG-1r.",612866,ER,GlcNAc(b1-4),,,GlcNAc(a1-?)Dol-PP,GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP,0,0,pM,1,1,1,1,1,,,UDP,R-HSA-446193,1,1
ALG1L,GT33,2.4.1.-,Glycosyltransferase,Q6GMV1,NM_001015050.2,,No Record,NP_001015050.2,200810,N_linked,Putative glycosyltransferase ALG1-like,Homo sapiens,,done,none,,,,no comments,0,ER,,,NULL,No reaction,,0,0,pM,1,1,1,1,1,,,null,,1,0
ALG1L2,,2.4.1.-,Glycosyltransferase,C9J202,NM_001136152.1,,No Record,NP_001129624.1,644974,N_linked,Putative glycosyltransferase ALG1L2,Homo sapiens,,done,none,,,,no comments,0,ER,,,NULL,No reaction,,0,0,pM,1,1,1,1,1,,,null,,1,0
ALG2,GT4,2.4.1.132,Glycosyltransferase,Q9H553,NM_033087.3,K03843,ko00510/ko00513/ko01100,NP_149078.1,85365,N_linked,"Alpha-1,3/1,6-mannosyltransferase ALG2",Homo sapiens,,done,Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol;Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,GDP-Man;GDP-Man,Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol;Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,GDP;GDP,"* These enzymes (Alg1, Alg2, Alg11) sequentially add 5-mannose from GDP-man to generate Man5Glc2-PP-Dol.
* Alg1 is a β1-4Mannosyltransferase.
* Alg2 adds both α(1-3) and α(1-6) Mannose to Man1GlcNAc2-PP-Dol.
* Alg11 adds additional α(1-2)Man to the 3-arm of the N-glycan precursor.
* Alg1, Alg2, and Alg11 mannosyltransferases are ER membrane proteins with catalytic domains that face the cytosol and that use GDP-man as the sugar donor for mannosylation.
* Deficiencies in Alg1, Alg2, and Alg11 result in CDG-Ik, CDG-Ii and CDG-Ip, respectively.
* Intermediate glycans built on dolichol phosphate containing 7 monosaccharides are flipped into the ER lumen. This is further built with 4 additional Man and 3 Glc.",607905,ER,Man(a1-3) or Man(a1-6),,,Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP or Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP,Man(a1-3)Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP or Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP,0,0,pM,1,1,1,1,1,,,GDP,R-HSA-446193,1,1
ALG3,GT58,2.4.1.258,Glycosyltransferase,Q92685,NM_001006941.2,K03845,ko00510/ko00513/ko01100,NP_001006942.1,10195,N_linked,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase",Homo sapiens,nMan=5&nMan(a1-6)=1,done,Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,Man-P-Dol,Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,P-Dol,"* Extension of Man5GlcNAc2-P-P-Dol in the ER lumen involves the addition of four Man (by ALG3 [α(1,3)ManT], ALG9 [α(1,2)ManT], ALG12 [α(1,6)ManT] followed by ALG9 [α(1,2)ManT] again) and three Glc residues (by ALG6 [α(1,3)GlcT], ALG8 [α(1,3)GlcT] and ALG10 [α(1,2)GlcT]). 
* In all instances the transfer uses either Dol-P-Man or Dol-P-Glc as donor. 
* Dol-P-Man is formed from GDP-Man using enzymes DPM1,2,3.
* Dol-P-Glc is formed from UDP-Glc using ALG5.
* Alg 3 is the first enzyme that acts on the lumen-oriented LLO. It adds α1,3-linked mannose to the α1,6 mannose arm. The enzyme uses dolichylphosphomannose (Dol-P-Man) as a donor and Man5GlcNAc2-PP-Dol as an acceptor substrate.
* Mutations in Alg 3 results in CDG-Id.",608750,ER,Man(a1-3),,,Man(a1-6)...GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP,Man(a1-3)Man(a1-6)...GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP,0,0,pM,1,1,1,1,1,,,P-Dol,R-HSA-446193,1,1
ALG5,GT2,2.4.1.117,Glycosyltransferase,Q9Y673,NM_001142364.1,,No Record,NP_001135836.1,29880,N_linked,Dolichyl-phosphate beta-glucosyltransferase,Homo sapiens,,done,Dol-P,UDP-Glc,Glc-P-Dol,UDP,"* Involved in the synthesis of Dol-P-Glc, using UDP-Glc as donor.",604565,ER,,,NULL,Dol-P,Glc(a1-?)Dol-P,0,0,pM,1,1,1,1,1,,,UDP,R-HSA-480985,1,1
ALG6,GT57,2.4.1.267,Glycosyltransferase,Q9Y672,NM_013339.3,K03848,ko00510/ko01100,NP_037471.2,29929,N_linked,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",Homo sapiens,nMan(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)]Man(b1-4)>=1,done,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,Glc-P-Dol,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,P-Dol,"* Dol-P-Glc is formed from UDP-Glc using ALG5.
* Three Glc residues are then transferred from Dol-P-Glc to the LLO using ALG6 [α(1,3)GlcT], ALG8 [α(1,3)GlcT] and ALG10 [α(1,2)GlcT].",604566,ER,Glc(a1-3),,,Man(a1-2)Man(a1-2)Man(a1-3),Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3),0,0,pM,1,1,1,1,1,,,P-Dol,R-HSA-446193,1,1
ALG8,GT57,2.4.1.265,Glycosyltransferase,Q9BVK2,NM_001007027.2,K03849,ko00510/ko01100,NP_001007028.1,79053,N_linked,"Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase",Homo sapiens,,done,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,Glc-P-Dol,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,P-Dol,"* Dol-P-Glc is formed from UDP-Glc using ALG5.
* Three Glc residues are then transferred from Dol-P-Glc to the LLO using ALG6 [α(1,3)GlcT], ALG8 [α(1,3)GlcT] and ALG10 [α(1,2)GlcT].",608103,ER,Glc(a1-3),,,Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3),Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3),0,0,pM,1,1,1,1,1,,,P-Dol,R-HSA-446193,1,1
ALG9,GT22,2.4.1.259,Glycosyltransferase,Q9H6U8,NM_001077690.1,K03846,ko00510/ko00513/ko01100,NP_001071158.1,79796,N_linked,"Alpha-1,2-mannosyltransferase ALG9",Homo sapiens,nMan>6&nMan(a1-6)=2,done,Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol;Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,Man-P-Dol;Man-P-Dol,Man(a1-2)Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol;Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,P-Dol;P-Dol,"* Extension of Man5GlcNAc2-P-P-Dol in the ER lumen involves the addition of four Man (by ALG3 [α(1,3)ManT], ALG9 [α(1,2)ManT], ALG12 [α(1,6)ManT] followed by ALG9 [α(1,2)ManT] again) and three Glc residues (by ALG6 [α(1,3)GlcT], ALG8 [α(1,3)GlcT] and ALG10 [α(1,2)GlcT]). 
* In all instances the transfer uses either Dol-P-Man or Dol-P-Glc as donor. 
* Dol-P-Man is formed from GDP-Man using enzymes DPM1,2,3.
* Dol-P-Glc is formed from UDP-Glc using ALG5.",606941,ER,Man(a1-2),,,Man(a1-3)Man(a1-6) or Man(a1-6)...Man(a1-6),Man(a1-2)Man(a1-3)Man(a1-6) or Man(a1-2)Man(a1-6)...Man(a1-6),0,0,pM,1,1,1,1,1,,,P-Dol,R-HSA-446193,1,1
AMDHD2,,3.5.1.25,,Q9Y303,NM_001145815.1,,No Record,NP_001139287.1,51005,,N-acetylglucosamine-6-phosphate deacetylase,Homo sapiens,None,done,GlcNAc(6P),H2O,GlcN(6P),acetate,* Hydrolyzes the N-glycolyl group from N-glycolylglucosamine 6-phosphate (GlcNGc-6-P) and Neu5Gc.,0,,,,NULL,GlcNAc(6P),GlcN(6P),0,0,pM,1,1,1,1,1,Muscular/Epithelial/Connective/Nervous,Musculoskeletal/Pancreas/Bladder/Spleen/Mouth/Liver/Ovaries/Brain/Stomach/Lungs/Prostate/Eyes/Intestines/Kidney/Heart,UDP,R-HSA-446210,1,0
B3GALNT1,GT31,2.4.1.79,Glycosyltransferase,O75752,NM_001038628.1,K00719,ko00601/ko00603/ko01100,NP_001033717.1,8706,GSL,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",Homo sapiens,,done,Gal(b1-4)Gal(b1-4)G1c(??-?)-Cer,UDP-GalNAc,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)G1c(??-?)-Cer,UDP,"* This is globoside synthase as it generates the P antigen: globotetraosylceramide, Gb4, GalNAcβ1-3Galα1-4Galβ1-4G1c-Cer.
* B3galnt1 gene disruption in mice results in embryonic lethality, early, probably prior to implantation. A4GalT mice lacking the Globo series are born normally. Thus, B3galnt1 may have additional unidentified roles.",603094,Cis/Medial/Trans/TGN,GalNAc(b1-3),,,Gal(a1-4)Gal(b1-4)Glc(b1-?)Cer,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-?)Cer,0.000575,150000000,pM,1,1,1,1,1,,,UDP,R-HSA-1660662,1,1
B3GALNT2,GT31,2.4.1.313,Glycosyltransferase,Q8NCR0,NM_001277155.2,K09654,ko00515/ko01100,NP_001264084.1,148789,N_linked/O_linked/O_glycanNMu,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2",Homo sapiens,!@GlcNAc(b1-4)...Man(b1-4),done,GlcNAc(b1-?); GlcNAc(b1-4)Man(a1-?)-Ser/Thr,UDP-GalNAc;UDP-GalNAc,GalNAc(b1-3)GlcNAc(b1-?); GalNAc(b1-3)GlcNAc(b1-4)Man(a1-?)-Ser/Thr,UDP;UDP,"* ER resident enzyme.
* Adds GalNAc to create Type I LacdiNAc structures on both N-glycans and O-glycans, but not glycolipid substrates. 
* In particular, it forms O-Mannosylated structures on α-dystroglycans, and this is necessary for laminin binding. Thus, it is a critical enzyme that is required for normal development of muscle and brain.
* Other enzyme substrates are yet unidentified.",610194,Cis/Medial/Trans/TGN,GalNAc(b1-3),,,GlcNAc(b1-?) or GlcNAc(b1-4)...Man(a1-?)Ser|Thr,GalNAc(b1-3)GlcNAc(b1-?) or GalNAc(b1-3)GlcNAc(b1-4)...Man(a1-?)Ser|Thr,0.000575,150000000,pM,1,1,1,1,1,,,UDP,R-HSA-5173105,1,1
