Gene ID	Gene Symbol	Transcript ID	Gene Tax ID	miRNA	Site Type	UTR_start	UTR end	context++ score	context++ score percentile	weighted context++ score	weighted context++ score percentile	Predicted relative KD
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-506-3p	1	1124	1130	-0.010	43	-0.002	46	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-512-5p	1	465	471	-0.010	39	-0.002	48	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-512-5p	2	1003	1009	-0.253	96	-0.054	82	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-512-5p	2	185	191	-0.058	74	-0.013	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-518d-5p	1	379	385	-0.127	82	-0.028	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-518g-5p	1	379	385	-0.127	82	-0.028	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-519a	1	379	385	-0.127	82	-0.028	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-523b	1	379	385	-0.127	82	-0.028	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-524-3p	1	493	499	-0.010	49	-0.002	53	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-524-3p	2	718	724	-0.020	61	-0.005	57	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-532-3p	2	635	641	-0.041	73	-0.009	64	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-539	1	1091	1097	-0.010	45	-0.002	55	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-542-3p	2	256	262	-0.111	74	-0.025	57	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-548a	3	1059	1066	-0.200	94	-0.044	78	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-548g-3p	1	235	241	-0.010	57	-0.002	66	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-548g-5p	1	707	713	-0.023	30	-0.005	32	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-549a	2	576	582	-0.056	42	-0.013	30	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-549b-5p	2	576	582	-0.056	42	-0.013	31	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-552	2	64	70	-0.261	72	-0.261	82	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-571	2	504	510	-0.253	95	-0.054	81	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-587	3	907	914	-0.030	36	-0.007	32	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-599-5p	2	1064	1070	-0.054	58	-0.012	42	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6127	3	115	122	-0.305	94	-0.305	95	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6128	1	762	768	-0.021	55	-0.005	45	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6129	3	115	122	-0.289	94	-0.289	95	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6130	3	115	122	-0.289	94	-0.289	95	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6132	1	294	300	-0.010	21	-0.002	28	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6133	3	115	122	-0.289	93	-0.289	95	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-627-3p	1	808	814	-0.010	26	-0.002	36	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-661	2	262	268	-0.170	83	-0.037	61	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-670-5p	1	818	824	-0.131	77	-0.029	58	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-670-5p	3	668	675	-0.273	94	-0.058	70	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6790-5p	1	508	514	-0.159	74	-0.035	52	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6794-5p	2	597	603	-0.191	76	-0.042	39	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6827-5p	1	991	997	-0.010	52	-0.002	59	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-6827-5p	2	876	882	-0.020	69	-0.005	62	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-708-3p	2	1137	1143	-0.155	86	-0.034	62	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7	1	688	694	-0.010	38	-0.002	44	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7170-5p	1	851	857	-0.163	82	-0.036	59	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7173-5p	2	643	649	-0.020	29	-0.005	36	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7173-5p	2	889	895	-0.020	29	-0.005	36	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7177-5p	3	206	213	-0.226	92	-0.049	64	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7178-3p	2	383	389	-0.029	86	-0.007	70	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7181-3p	2	57	63	-0.213	83	-0.213	89	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7188-5p	2	641	647	-0.037	58	-0.008	49	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7192-5p	2	186	192	-0.028	50	-0.006	44	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7195-5p	2	598	604	-0.152	86	-0.034	64	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7197-3p	1	308	314	-0.061	52	-0.014	41	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7198-5p	1	208	214	-0.129	82	-0.029	59	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7200-5p	2	97	103	-0.180	85	-0.180	89	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7202-5p	2	259	265	-0.079	65	-0.018	41	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7206-5p	3	507	514	-0.281	93	-0.060	68	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-7208-3p	1	965	971	-0.057	71	-0.013	59	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-758-5p	1	656	662	-0.085	58	-0.019	37	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-759	2	252	258	-0.020	51	-0.005	52	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-761	1	1001	1007	-0.134	92	-0.030	78	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-767-5p	1	279	285	-0.038	45	-0.009	36	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-769-5p	1	247	253	-0.025	42	-0.006	40	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-875-3p	1	762	768	-0.046	61	-0.010	45	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-877-3p	1	147	153	-0.165	89	-0.151	91	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-885-3p	2	698	704	-0.221	92	-0.048	63	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-890-5p	1	344	350	-0.055	58	-0.013	42	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-920	1	59	65	-0.129	81	-0.129	86	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-922	1	1001	1007	-0.168	96	-0.037	80	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-93-3p	1	78	84	-0.167	89	-0.167	92	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-93-3p	1	891	897	-0.054	60	-0.012	42	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-936	1	462	468	-0.039	58	-0.009	46	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-940	2	330	336	-0.133	85	-0.030	68	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-940	2	451	457	-0.104	79	-0.023	66	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-940	2	601	607	-0.055	67	-0.013	55	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-942-3p	2	373	379	-0.336	92	-0.071	67	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-103	2	775	781	-0.049	54	-0.011	39	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-107	2	775	781	-0.049	54	-0.011	39	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-10a	2	307	313	-0.104	79	-0.023	60	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-10a	2	468	474	-0.123	83	-0.027	62	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-10b	2	307	313	-0.104	79	-0.023	60	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-10b	2	468	474	-0.123	83	-0.027	63	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1197	2	207	213	-0.067	76	-0.015	61	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1197	2	28	34	-0.191	92	-0.191	94	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1224-5p	2	30	36	-0.199	95	-0.199	96	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1224-5p	3	209	216	-0.199	95	-0.043	82	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1225	1	660	666	-0.066	62	-0.015	47	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1227	1	1115	1121	-0.010	24	-0.002	35	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1233	1	660	666	-0.134	80	-0.030	52	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1236	1	148	154	-0.128	82	-0.128	87	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-124a	1	510	516	-0.137	62	-0.030	42	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-124a	2	1201	1207	-0.146	64	-0.032	43	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1253	1	740	746	-0.148	87	-0.033	59	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-125b	1	896	902	-0.035	45	-0.008	38	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-125b	2	743	749	-0.141	79	-0.031	59	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-1262	2	323	329	-0.075	64	-0.017	41	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-128	2	477	483	-0.129	84	-0.029	67	NULL
